Grade,Rolling Cum GPA,Term 1,Term 2
8,3.882,3.833,4
6,,2.286,2.571
7,1.45,1,0.833
7,1.857,1.143,1.286
8,3.029,2.333,2
8,3.706,3,3.571
7,1.381,1.286,1.286
8,1.771,0.571,1.143
6,,3.571,3.429
7,3.25,2.833,3.143
7,1.762,1.714,1.143
8,3.824,3.667,3.714
7,3.571,3.571,3.714
6,,2.857,2.857
6,,3.571,3.714
7,1.9,1.833,1.429
6,,1.571,2.286
7,2.048,1.286,1.429
6,,3,2.571
7,2,2.143,1.571
7,,0.857,1
6,,3.429,3
6,,2.429,1.714
7,1.381,0.714,1.571
6,,3.857,3.857
7,3.524,4,4
7,3.667,3.857,3.571
8,3.824,4,3.857
8,2.829,2.286,2.286
6,,3.286,3
6,,2.167,1.857
7,1.667,1.286,1.143
6,,3.143,3.429
6,,2,2
6,,4,3.429
8,1.727,1,1.167
8,3.333,3,3.143
7,0.952,0.857,0.429
8,2.514,2.571,2
6,,3,3.571
8,2.229,0.857,1.143
6,,2.143,1.714
8,3.086,2.429,2.857
8,1.943,1.857,1.429
6,,2.857,2.143
8,2.588,1.5,1.857
8,2.235,2.333,1.857
8,1.829,0.571,1.143
7,3.381,3.429,3.143
7,2.286,1.571,2.429
7,2.333,2.571,1.714
8,3.229,2.571,2.286
7,3.762,3.857,3.857
6,,1.857,1.286
7,3.65,3.571,3.429
6,,2.857,3.143
8,1.857,1.429,1.571
6,,3.714,3.429
8,3.486,3.714,3.429
8,1.714,0.857,0.857
8,2.457,1.857,1.429
8,2.514,1.571,1.571
6,,2,2.714
8,1.771,0.429,0.286
6,,1,1.429
6,,0.286,0.857
7,1.85,2.143,1.429
8,2.971,2,2.286
7,2.619,3,1.857
6,,1.333,1.714
6,,1.143,1.286
7,0.6,0,0
8,1.943,2,1.286
7,3.524,4,2.857
6,,1.143,1.429
7,2.238,1.857,2
6,,0.857,1.286
7,,2.333,2.857
6,,1.857,1.286
8,2.733,2.286,3
7,2.133,1.714,2.571
7,3.571,3.857,3.286
6,,1,1
6,,1.143,1.571
6,,4,3.857
7,1.476,1.429,1.429
8,1.686,0.857,1.143
6,,1.857,2.286
8,2.333,2.167,1.286
7,1.524,0.571,1.143
7,1.619,0.857,1
6,,1.429,2.714
8,3.2,3.429,2.714
6,,3.714,3.857
7,1.476,1.143,1
7,1.762,1.714,1.714
6,,1.571,0.714
7,,0.714,0.714
7,3,3,2.714
8,1.676,1.571,1.333
7,2.19,2,1.857
6,,1,0.714
8,3.771,3.571,3.429
6,,2.286,1.571
6,,1.857,1.429
6,,3.714,3.857
6,,3.714,4
8,2.857,2.286,2.714
7,0.5,0.429,
6,,3.571,3.571
6,,4,4
6,,3.571,3.429
6,,1.714,1.143
6,,2.143,1.714
7,2.85,3,3.286
6,,2.857,2.429
6,,1.286,1.571
7,2.8,3.143,2.143
8,2.8,3.143,2.286
8,1.714,0.571,0.714
8,1.214,0.143,0.571
6,,3.286,2.857
7,3.429,3.857,3.714
8,2.107,1.286,2.286
6,,3.857,4
8,,2.429,2.857
8,2.314,3,2.143
6,,,
8,1.571,0.429,0.857
8,3.971,4,4
6,,3.429,2.571
8,2.829,1.714,2.143
7,2.429,2.429,2.143
7,3.7,3.857,3.857
7,3.2,2.667,3.143
6,,2,1.429
8,3.114,2.714,2.714
8,1.679,1.143,1
7,1.476,0.571,0.571
7,3.6,3.667,3.571
6,,3.429,2.714
7,1.81,1.857,1.571
6,,3.143,3.571
7,1.95,1.857,1.714
7,2.095,2,1.857
7,2.952,2.286,3.143
8,2,2.286,1.857
7,2.5,2.5,2.429
6,,3.429,3.143
6,,3.714,3.857
8,1.8,1.286,1.286
7,3.7,4,3.571
8,2.743,1.857,1.286
7,1.952,1.571,1.286
8,2.294,1.429,2.714
8,2.143,1,1.429
6,,3.714,3.714
7,3.15,3.286,3.143
6,,1.833,1.429
8,1.794,1.286,0.714
6,,2.143,2.143
7,1.905,1.571,1.286
8,2.571,2.286,2.286
8,3.618,4,4
8,3.914,3.857,4
7,3.238,3.286,3.286
7,2.429,1.857,2.143
8,3.2,3,2.857
6,,3.429,3.571
8,1.3,0.286,0.571
7,1.692,0.333,
6,,1.714,2
8,1.543,0.286,1.143
7,1.25,0.857,1
8,1.815,1.571,1.5
6,,2.857,2.714
7,2.714,2.286,2.429
7,2.4,2.429,1.857
8,2.457,3,1.571
6,,3.571,3.714
6,,3.571,3.857
7,2.333,2,2.429
8,1.886,0.571,0.857
7,1.154,0.167,2
8,3.059,2.5,2.857
8,3.943,3.857,3.857
8,1.686,1.143,1.286
6,,3,2.429
6,,1.857,2.286
7,1.45,1,0.571
6,,1,1.143
8,3.576,2.833,3.429
7,3.905,3.857,4
6,,,
8,2,1.714,2
6,,1.857,1.429
6,,2.429,1.857
8,,3.857,4
6,,0,0.4
6,,0.429,0.571
8,2.457,1.143,1.571
6,,3.429,3.714
7,1.2,0.429,1.143
8,3.4,3.429,3.286
7,1.3,0.714,0.333
7,2.667,2.286,2.571
8,3.486,3.429,3.143
8,2.686,2.286,2.429
8,2.143,1.571,0.571
8,3.686,3.714,3.714
8,2.343,3,2.857
8,2.048,1.857,1.571
6,,3.571,3.857
8,,1.857,2.286
7,1.667,1.714,1.857
7,2.81,2.857,2.286
7,3.81,3.714,3.857
8,2.167,2.333,
7,3.952,4,4
8,1.9,2.143,1
8,2.265,2,1.429
7,1.619,1.429,1.571
7,3.19,3,3.429
8,3.5,3.5,3.714
6,,3.714,3.857
7,2.9,2.857,2.714
6,,2.714,2.143
7,2.476,2.429,1.857
6,,3.571,2.429
8,3.143,2.429,3.143
6,,2.714,2.286
8,2.171,0.571,1
6,,3.571,3.714
8,3.676,3.333,4
6,,2.286,2.143
8,3.206,3.167,3.143
6,,4,3.143
6,,4,3.857
6,,4,4
7,0.952,0.143,0.143
8,2.471,0.857,1.143
7,2.905,2.571,2.857
7,,2.857,2.429
7,3.05,3,3.143
6,,1.143,1.143
8,1.943,0.429,1
7,2.381,1.857,2.286
8,0.867,0.286,1
6,,2.143,2.571
6,,3.857,3.857
7,3.75,3.857,3.571
6,,2.714,2.143
8,1.8,0.571,0.571
7,3.667,3.571,3.714
7,1.905,1,2.143
8,2.4,1.571,1.857
8,1.735,1.857,1.143
7,2.619,2.714,2.714
7,2.476,2.571,1.571
8,2.057,2.143,2.429
6,,3.286,3.429
7,1.857,1.571,1.571
7,1.65,1,1.571
6,,2.571,2.143
8,3.382,3,2.857
7,3.905,4,4
8,3.057,2.571,2.857
7,3.4,3.429,3.286
6,,1.857,1.714
6,,2,1.429
6,,3.429,2.571
8,1.857,1.286,1
6,,3.571,3.571
6,,3.857,3.571
6,,1.857,2
8,3.676,3.5,4
6,,1.571,1.714
7,2.5,2.167,2.429
8,2.529,1.857,1.429
7,3.476,3.571,3
6,,4,3.857
8,2.943,2.714,2
8,3.857,3.714,3.714
8,1.771,1.429,0.857
7,2.905,3,2.143
7,2.476,2.143,2.429
8,2.485,1.833,1.714
8,0.914,0.286,0.571
8,3.971,4,4
8,3.457,3.286,3.286
7,1.667,1.429,1.429
6,,2.286,1.857
7,1.286,0.714,1
7,1.524,1.143,1
6,,3.143,3
8,1.886,1.857,1.143
6,,1.833,1.857
8,1.571,1.286,2
6,,2.714,2.143
8,3.2,2.143,2.857
6,,1.571,1.714
6,,1.714,1.714
6,,2.286,2.143
6,,0.714,0
7,1.45,1.5,1.143
7,2.81,3,2.571
7,3.048,2.714,2.857
6,,3.143,2.857
6,,2.429,2.429
8,3.171,3.286,2.714
8,2.629,2.429,2
8,3.794,3.833,3.857
7,3.714,3.429,3.714
7,2.158,1.8,2
8,3.471,4,3.571
7,3.381,3.714,3.571
7,3.952,4,4
6,,3.286,3.571
6,,1.571,1.429
6,,1.286,1
6,,3.429,3.714
7,1.905,1.714,1.143
7,1.316,0.833,1
6,,3.143,2.857
8,3.286,3.286,2.286
6,,3,3.143
6,,1.167,1.714
8,2.886,2,2.143
7,1.421,0.667,1.429
6,,3,3
6,,2,1.714
8,2.412,1.857,1.143
6,,2.143,1.857
6,,2.857,1.857
8,2.206,1.857,2.143
6,,2,2.286
8,2.206,1.429,1.571
8,3.914,3.714,3.857
8,2.4,1.429,1.714
7,3.286,3.286,3.571
8,2.971,2.143,3.286
6,,3.714,3.286
7,,0.857,1.143
8,3.471,2.667,3
6,,1.571,2
7,3.667,3.571,3.571
6,,1,
8,1.543,0.571,0.714
7,1.8,1.333,1.429
6,,1,1.714
7,2.571,2.143,2.571
7,3.6,3.833,3.714
6,,3.857,3.857
8,3.914,3.714,3.857
7,3,2.833,2.429
6,,3.286,2.571
7,2.762,2.714,2.286
7,2.905,2.571,2.571
6,,0.5,1.286
8,2.606,1.833,2.143
8,3.471,3.667,2.571
8,3.371,3.714,3.143
7,2.381,2.286,1.857
6,,4,3.857
7,2.2,2.143,1.571
6,,0.286,0.143
7,3.714,3.857,3.857
6,,2.571,
6,,2.714,2.286
8,2.343,1.429,1.286
6,,3.143,2.857
6,,2.571,2.714
7,1.048,0.714,0.429
6,,2.714,2.714
7,2.905,3,3
7,2.524,2.143,2.143
8,1.971,0.714,1.286
6,,2.429,2.571
8,3.824,4,3.857
6,,3.857,4
7,3.571,3.571,3.571
7,3.095,3.286,3
6,,1,1.571
8,3.286,3.429,3.143
7,2.762,2.429,2.857
6,,1.571,1.286
8,3.686,3.714,3.857
7,3.905,3.714,4
6,,2.143,1.571
6,,3,2.571
8,1.476,1.714,1.143
8,1.686,1.857,1.571
8,2.647,3.143,3.286
6,,2.143,1.857
8,2.905,3.143,2.286
6,,2.857,2.286
6,,4,4
8,3,2.571,2.714
7,3.381,3.571,3.143
7,1.048,1.143,0.429
7,3.6,3.571,3.286
6,,2.571,1.571
8,2.324,2.571,2.714
7,3.19,3,3.429
7,2.143,2.143,1.857
6,,1.571,2.429
8,2.257,0.857,1
7,3.3,3.167,3.571
6,,2.571,2.857
8,1.971,1.857,1.429
6,,0,0.2
7,0.857,0.429,1.143
8,1.588,1,1.75
7,2.095,1.714,2
8,2.179,2,1.857
6,,0.857,1
8,1.941,0.714,0.286
6,,2.429,1.429
6,,1.667,1.857
6,,0.5,0.714
6,,2.429,2
7,1.952,1.714,1.143
6,,3.857,4
6,,2.429,2
8,2.829,3,2.714
6,,1.571,1.429
6,,2,1.429
7,3.429,3.143,3.714
7,1.857,1.571,1.429
6,,4,3.571
6,,2.286,1.286
6,,2.286,2.143
8,3.476,3.571,3.143
6,,3.714,3.571
7,2.238,2.571,2
8,3.057,3.143,3.286
8,3.429,3.143,3.286
6,,3.571,3.429
8,2.057,1.429,1.857
6,,0.714,1
6,,3.714,3.857
6,,4,4
6,,3.143,2.429
6,,3.714,3.857
7,2.333,2.143,2
6,,1.286,1.571
7,2.714,2,2.571
7,3.048,3.429,2.714
6,,2.286,2.571
6,,2.143,1
6,,2.143,2.429
8,2.629,2.286,2
8,3.514,3.429,3.429
7,2.143,2.286,2
6,,2.571,1.286
7,3.571,3.714,3.571
7,2.85,2.667,2.286
8,2.9,,
6,,1.833,1.571
6,,2.143,2.571
8,1.765,0.333,1
6,,3.429,3.857
6,,1.286,1.429
7,3.81,3.857,3.714
6,,0.714,0.8
6,,0.571,0.8
8,3.029,2.857,3.143
7,3.571,3.286,3.571
8,1.629,1.857,1
8,2.457,2.143,1.857
8,3.457,3.429,3.286
7,3.905,4,4
8,2.8,2.714,2.571
7,1.3,0.667,0.857
7,1.619,0.857,1.286
7,3.238,3.143,3.143
7,1.3,0.571,0.857
6,,3,2.857
7,1.571,1.143,1
8,2.286,1.429,3.714
6,,1.857,1.714
8,3.061,2.833,3
6,,3.429,
7,1.571,1.429,1.571
7,2.619,2.429,2
8,1.714,1.429,1.429
8,2.286,2,2.143
6,,0.571,1
6,,1.571,1.429
8,1.19,0.571,0.571
6,,0.143,0
6,,1.143,1.286
7,,3.143,2.714
7,2.524,2.571,2.143
6,,2.857,2.429
6,,2.286,3
6,,3,2.714
6,,1.714,1.429
8,,1,1.286
7,2.952,2.429,2.857
7,1.571,,
6,,1.857,2.429
8,2.686,2.714,2.143
6,,2.286,1.429
6,,3,2.286
7,2.381,1.714,2.571
6,,3,3.286
7,2.19,2,1.143
7,1.81,1,1.571
7,3,3.167,3.429
7,3.143,2.857,3.143
7,2.381,2.571,2.571
6,,2.714,2.857
7,3,2.857,2.714
6,,3.571,3.571
6,,3.571,3.429
6,,1.857,2.429
8,2.062,0.5,0.333
7,3.048,3,2.714
8,2.4,2.857,1.857
7,2.5,2.667,2.143
8,2.829,3.286,3
7,2.053,2.6,1.857
7,2.19,1.857,1.857
6,,1,1.429
6,,2.286,2.429
8,2.314,1.143,1
7,1.762,1,1.571
6,,3.857,3.857
7,2.143,2.143,2.429
6,,1.143,1
7,3.381,3,3.571
7,0.6,0.571,0.167
6,,2.143,1.857
6,,1.429,1.143
6,,1.857,2.143
7,1.857,1.571,1.714
6,,2,2
8,2.794,1.833,2.429
7,0.857,0.714,0.286
7,1.524,1.286,1.429
6,,1.143,1.286
8,1.886,0.857,1.714
6,,1.286,1.429
8,1.912,1.286,1.571
8,1.743,1,1.571
7,1.714,1,1.714
7,3.095,3,3.571
7,2.429,2.857,2.429
7,2.143,1.143,2.143
6,,1.571,2.429
8,2.412,2.286,2.429
7,1.3,1.167,1.143
6,,3.571,3.857
6,,4,4
8,1.171,0.571,0.286
6,,1,1.286
6,,0.714,0.833
8,3.912,3.833,4
6,,1.429,1.143
6,,1.857,1.143
6,,2.857,2.857
8,1.571,0.571,0.857
7,0.6,0.286,0.333
7,3.381,3.429,3.286
6,,1.143,0.857
6,,1.571,1.714
6,,,
8,2.829,2.571,2.857
6,,2.143,1.286
8,,,
8,2.118,1.167,1.143
6,,1.429,1.286
6,,2.429,2.286
8,2.139,2.857,2.714
6,,3.857,3.714
7,2.905,2.857,2.857
6,,3,1.857
6,,2.143,1.429
6,,3.143,2.857
6,,3.714,3.429
7,1.7,2,1
6,,4,4
7,3,,
7,2.6,2,2.143
8,2.057,2.571,1.714
7,3.25,3.429,2.857
8,1.571,1.571,1.286
6,,1.571,1.857
8,2.5,2,1.571
6,,3.857,3.571
8,3.6,3.571,3.286
7,1.762,1.714,1.286
6,,3.429,3.571
7,3.857,3.857,3.857
6,,3.714,3.714
7,2.143,1.571,2.143
8,3.457,3.571,3.429
7,3.238,3.143,3.143
6,,3.286,3.286
8,2.618,2.5,1.714
8,2.486,1.286,1.143
6,,3.143,2.286
6,,3.857,3.857
6,,1,1.143
7,1.286,0.857,1
6,,2.429,2.857
7,1.211,0.5,1.429
6,,3.714,3.429
7,3.905,4,4
6,,3.286,1.857
8,3.629,4,4
6,,3.571,3.429
7,2.19,2.571,1.857
6,,2.857,1.857
7,1.714,1.857,1.429
7,2.952,3,2
7,3.286,3.286,3
8,3.743,3.429,3.571
8,2.571,2.286,1.571
6,,2.714,2.571
8,2.143,1.857,1.429
7,1.143,0.714,0.714
7,3.35,3.429,3.143
8,1.636,0.286,1.2
7,3.667,3.286,3.857
6,,3.286,2.857
6,,1.857,2
7,1.55,1.167,1.429
8,2.029,1.857,1.571
7,1.7,1.286,1.429
8,1.706,0.714,0.714
7,1.5,0.714,0.833
6,,3.857,4
7,2.095,2.143,2.571
6,,2.143,2.143
8,1.971,1.286,1.286
8,2.19,2,2.286
7,1.45,0.857,1
8,3.6,3.286,4
7,3.857,3.857,4
8,3.706,3.5,3.286
8,,0.143,0.6
8,1.371,0.429,0.143
8,2.029,1,2
6,,3.429,3.571
6,,2.571,2.571
7,2.19,1.857,2
6,,0.667,0.857
8,2.6,2.429,2.429
7,3.905,3.857,4
8,2.286,2,1.857
7,2.476,2.571,2.143
6,,2,2
8,2.486,2.429,1.571
8,2.057,1.571,2.429
7,1.714,1,1.286
8,2.343,1.714,2.143
6,,3.286,3.143
7,4,4,4
6,,2.857,2.714
8,3.909,3.833,3.857
7,3.3,3.333,3.571
7,3.667,3.714,3.714
7,2.45,2,2.429
7,1.278,0.714,0.4
6,,3.143,3.143
6,,1.286,0.857
6,,0.571,0.571
8,1.857,2.143,1.571
6,,3.429,3.286
7,3.952,4,4
7,2.714,3,2.429
6,,3.429,3.571
6,,2.143,1.714
6,,2.143,2
7,,2.571,1.714
7,1.952,1,1.429
7,2.95,2.857,2.714
7,1.9,1,1.714
7,4,4,4
6,,3,1.714
8,3.057,3,2.714
8,2.6,2.286,1.714
7,3.35,3.857,2.857
8,2.118,0.833,1.286
6,,1,
6,,2.857,2.429
7,1.9,1.714,1
6,,1.571,1.333
6,,1.429,0.857
7,3.857,3.857,4
7,1.7,1.167,0.857
6,,2.429,1.714
8,1,0,0.286
7,3.3,3.286,3.429
8,2.429,2.714,2.429
8,2.382,2.286,2.571
7,1.071,0.571,
6,,3.857,3.857
7,3.571,3.571,3.571
6,,2.857,2.571
7,2.85,2.833,2.429
7,2.238,2.143,1.286
7,3.571,3.429,3.857
6,,2.857,3.143
8,,1.857,1.857
8,3.086,3,2.857
6,,1.857,1.143
6,,3.714,3.143
6,,1.571,1.857
7,1.35,1.5,1.571
8,2.771,3.429,2.857
8,3.171,2,2.714
7,2.048,2.143,1.571
7,1.381,0.857,1
8,3.8,3.857,3.714
6,,3.143,3.286
7,1.333,0.571,0.857
6,,2.571,2.429
7,2.095,2.143,2
7,3.571,3.714,3.429
7,3.75,3.857,3.857
6,,0.5,0.857
8,3.529,3.667,3.571
7,2.05,1.833,1.429
6,,3.429,3.286
8,3.257,3.429,3.143
8,3.057,2.571,2.571
8,1.486,0.571,1.143
7,3.95,4,4
6,,2.857,2.286
6,,1.714,2.571
8,2.714,1.714,2.143
8,0.857,0.571,0.429
8,2.706,2.143,1.5
7,1.571,0.857,0.571
7,2.789,2.833,2.714
7,1.95,0.833,1.714
8,2.029,1.714,1.286
6,,3.857,3.857
6,,4,4
6,,3.714,3.857
6,,2.571,2
6,,3,3.143
6,,2.143,1.429
7,1.81,1.857,1.286
8,1.314,0.857,0.857
7,1.55,1.333,1.143
7,3.714,3.857,3.714
8,1.829,0.571,1
8,2.057,1,0.714
6,,3.286,3.429
6,,3.286,3.714
7,3.238,3.571,3.714
7,2.857,3,2.571
6,,3.857,3.714
8,1.543,0.429,0.857
7,4,4,4
7,1.714,1.571,1.286
8,1.294,0.571,0.571
6,,1.857,
7,2.048,2.143,1.857
7,3.65,3.571,3.429
6,,1.143,1.833
6,,2.714,2.571
6,,0.857,1.714
8,1.357,0.429,0.714
8,2.824,3.571,2.571
7,3.667,3.714,3.571
6,,2.286,1.714
7,,3.143,3.571
7,3.905,4,4
6,,0.714,1.143
6,,1.5,2.286
7,1.952,1.571,2
8,1.857,1.286,1.571
7,3.333,3.571,3.429
8,1.486,0.286,1
6,,3.286,3
6,,3.143,3.429
6,,2.143,2.571
6,,0,0.167
6,,3.714,3.714
6,,2.286,1.857
7,0.778,,0
6,,2.857,3
6,,0.714,0.857
6,,1.714,1.143
7,1.714,1,1.286
8,3.667,3.5,3.429
7,1.381,1,1.143
8,2.543,2.857,1.714
6,,,
7,1.571,1.571,1.286
7,1.15,0.333,0.571
7,0.857,0.143,0.429
8,1.5,0.571,0.571
8,4,4,4
6,,1.286,1.571
8,1.619,0.571,1.571
6,,3,2.714
7,2.762,3,3.286
8,3.886,3.857,4
6,,3.857,4
7,1.524,0.857,0.714
6,,0.714,0.571
6,,1,0.571
8,3.114,1.714,2
7,3.048,3,3.429
6,,4,3.714
6,,3.286,3.571
7,1.476,1.286,1.429
6,,3.429,3.714
8,2.321,2.429,1.714
7,3.857,3.857,4
8,3.086,3,1.429
7,2.7,2.857,2.429
6,,2.857,2.714
6,,1.286,2
7,3.905,4,4
7,1.3,0.833,1.571
7,1.45,0.833,1
6,,1.714,1.286
7,1.25,1,0.571
7,1.143,0.429,0.429
8,3.324,2.167,3.143
8,1.714,1.143,1
6,,0.571,0.429
8,2.629,1.714,2.143
8,2.294,2.857,2.143
8,3.235,3.286,3.286
8,2.486,1.571,1.857
7,3.714,3.857,3.571
7,3.238,3.429,3.143
8,3.471,3.714,4
8,3.824,3.667,4
8,1.778,1.286,1.286
7,2.048,1.857,1.286
8,3.029,2.857,2.857
6,,2.857,3.429
6,,2.429,2.571
6,,,
6,,2.857,3.286
8,2.381,,
6,,3.429,4
8,3.171,2.714,2.714
7,2.45,2.286,1.5
8,1.882,2,2.286
6,,4,4
8,2.629,1.286,0.714
7,3.857,4,4
7,2.381,2.286,2.143
6,,3.143,3.143
7,1.15,0.333,0.714
6,,1,1
6,,3.571,3.286
7,3.905,4,4
6,,3,2.857
6,,3,2.857
6,,2,2.571
8,3,3,2.857
6,,1.714,1.714
7,2.158,1.833,2.571
6,,3,2.857
8,3.971,3.833,4
7,3.333,3.571,3.571
8,1.8,1.286,0.714
7,1.95,1,1.857
6,,3.857,3.714
8,1.706,0.286,0.5
8,2.286,2.143,2.571
6,,2.857,3
8,2.206,1.286,1.143
6,,1.857,2.429
6,,1.714,1.857
6,,2.714,2
7,2.619,2.286,2.286
7,3.571,3.286,3.571
6,,1.857,2
7,3.55,3.333,3.571
6,,3.714,3.286
8,3.171,3.286,2.429
7,3.095,3.286,2.714
6,,1.429,2.143
6,,1.857,1.714
8,2.257,2.571,2.714
6,,1.571,
6,,3.857,3.857
7,2.45,2.333,3
7,1.81,1.286,1.286
8,2.714,2,2
7,3.15,3.714,3.143
6,,1.571,1.429
6,,1.714,2.429
7,,2.857,3.286
7,3.048,2.857,2.286
8,2.371,2.429,2.286
7,4,4,4
8,2,1.143,2.714
6,,2.429,1.857
7,1.45,0.286,0.667
8,2.314,1.714,1.571
6,,2.286,2.714
7,3.095,2.714,2.857
6,,1,0.857
8,1.829,1.286,1.571
6,,3.714,3.286
8,3,3,2.714
8,2.139,1.714,0.857
